gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,scenario,order111111,order1122,order123,order222
M,3,工管系,2,2,0,2,0,0,0,1,2,resting,csenwy,csenwy,cesnwy,csenwy
F,1,原科院學士班,1,1,1,1,0,0,0,1,2,resting,scewyn,scewny,scenwy,csewny
F,2,法律系,3,2,2,0,1,0,0,1,2,resting,escwny,escwny,ecsnwy,escwny
F,4,護理科,2,1,2,0,0,0,0,1,2,wakingup,csnwye,csnwey,cnsewy,csnwey
M,2,不分系,2,1,2,1,1,0,1,2,1,resting,csewny,csewny,cesnwy,csewny
M,2,材料,3,1,1,2,0,0,0,1,2,resting,csnwey,csnwey,cnsewy,csnwey
M,2,資工系,2,1,1,1,0,0,0,1,2,commuting,nwcsey,nwcsey,ncwesy,nwcsey
F,2,文資系,2,1,0,2,0,0,0,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
F,2,資工系,4,1,0,3,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,2,外語,4,4,2,1,0,0,0,1,2,commuting,nwecsy,nwcesy,newcsy,nwcesy
F,2,中山大學化學系,4,2,1,3,0,0,0,1,2,resting,secwyn,secwny,scenwy,escwny
M,2,電子物理系,4,3,2,2,1,0,0,3,2,working,ncswey,ncswey,ncsewy,cnswey
F,2,歷史系,4,3,1,3,1,0,0,1,2,working,ncwyse,ncwyes,ncwesy,cnwyes
F,2,資工系,1,1,0,0,0,0,0,1,2,resting,secwny,secwny,scenwy,escwny
M,2,資工系,4,1,1,4,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,2,?,?,?,?,?,?,1,2,working,scwnye,scnwey,scweny,csnwey
F,2,資工系,3,2,1,2,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
F,2,資工系,1,?,?,?,?,?,?,1,2,resting,nescwy,necswy,nescwy,encswy
F,4,食品營養科,1,1,1,1,0,0,0,1,2,working,ncwsye,ncswey,ncwesy,cnswey
F,4,企業管理,1,0,0,1,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
M,4,材料,4,3,3,2,2,0,0,2,1,resting,cswney,csnwey,csweny,csnwey
M,1,經濟系,3,2,1,1,0,0,0,3,2,wakingup,ynwecs,ynewcs,ynwces,nyewcs
M,2,數據所,4,2,2,0,0,0,0,1,2,commuting,csewyn,csewny,cesnwy,csewny
M,3,資工所,1,1,0,0,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
M,3,材料所,3,1,1,2,0,0,0,1,2,wakingup,cnwsey,cnswey,cnwesy,cnswey
M,3,資工,4,1,1,3,0,0,0,1,2,working,cnsywe,cnsyew,cnsewy,cnsyew
M,2,資工11,3,2,1,1,1,0,1,1,2,commuting,wnscye,wncsey,wnscey,nwcsey
F,2,行銷系,4,1,2,3,0,0,0,1,2,wakingup,cnsewy,cneswy,cnsewy,cneswy
F,1,資工,4,3,3,3,0,0,0,1,2,working,scnwey,scnwey,scnewy,csnwey
M,2,電機,4,2,2,2,0,0,0,1,2,wakingup,csnewy,csenwy,cnsewy,csenwy
F,2,心諮系,2,1,0,1,0,0,0,1,2,working,cwnsey,cwnsey,cnwesy,cwnsey
M,2,資工,4,?,?,?,?,?,?,1,2,resting,ceswny,ceswny,cesnwy,ceswny
F,4,電子資料處理,4,4,4,4,0,0,0,1,2,resting,cnsewy,cneswy,cnsewy,cneswy
F,4,EE,4,1,4,2,1,0,1,1,3,resting,ncsywe,ncsyew,ncsewy,cnsyew
F,2,資工系,3,3,2,1,0,0,0,1,2,working,csenwy,csenwy,cesnwy,csenwy
F,2,工科,4,2,1,4,0,0,0,1,2,working,cswyne,cswyen,csweny,cswyen
M,2,資工系,3,?,?,?,?,?,?,1,3,wakingup,cnsewy,cneswy,cnsewy,cneswy
F,4,中文,2,2,1,0,0,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
M,3,資工,4,1,1,3,0,0,0,1,2,resting,cnsywe,cnsyew,cnsewy,cnsyew
M,2,資工系,3,1,1,2,0,0,0,1,2,resting,cwnsey,cwnsey,cnwesy,cwnsey
F,2,資工系,3,1,1,2,0,0,0,1,2,commuting,cwnsey,cwnsey,cnwesy,cwnsey
M,2,材料系,3,2,2,0,0,0,1,1,2,resting,scewyn,scewny,scenwy,csewny
M,3,資工,4,1,1,3,0,0,0,1,2,commuting,cnsywe,cnsyew,cnsewy,cnsyew
F,2,教育學院學士班,3,2,2,0,0,0,0,1,2,resting,escwny,escwny,ecsnwy,escwny
M,2,電機系,3,1,1,2,0,0,0,1,2,resting,ecswny,ecswny,ecsnwy,ceswny
F,4,國貿科,1,1,2,0,1,0,0,1,2,commuting,cswnye,csnwey,csweny,csnwey
F,2,教育學院學士班,3,2,2,0,0,0,0,1,2,wakingup,nwycse,nwcyes,nwyces,nwcyes
M,4,机械系,1,0,1,0,0,0,1,1,2,wakingup,nwscye,nwcsey,nswcey,nwcsey
M,2,電機系,2,1,1,1,1,0,0,3,1,commuting,csnwey,csnwey,cnsewy,csnwey
F,2,資工系,4,3,2,3,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
F,2,英教系,4,4,4,4,0,0,0,1,2,wakingup,cseynw,cseynw,cesnwy,cseynw
F,2,電機系,4,1,1,2,0,0,0,1,2,wakingup,ncyswe,ncsyew,ncyesw,cnsyew
M,2,清大動機,2,1,1,1,0,0,0,1,2,working,ecswyn,ecswny,ecsnwy,ceswny
M,2,資工,4,?,?,?,?,?,?,1,2,commuting,ncwsey,ncswey,ncwesy,cnswey
F,2,數學系,4,3,1,1,1,0,0,1,2,resting,scnewy,scenwy,scnewy,csenwy
F,2,經濟,3,2,0,4,0,0,0,2,3,wakingup,csewny,csewny,cesnwy,csewny
M,2,資工系,4,4,3,4,2,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
F,2,電物,2,1,1,0,0,0,0,1,2,working,cnswey,cnswey,cnsewy,cnswey
F,2,金融系,2,2,1,0,0,0,0,1,2,resting,csnwye,csnwey,cnsewy,csnwey
M,2,資工系,2,1,1,1,0,0,0,1,2,resting,csewny,csewny,cesnwy,csewny
M,3,資工所,2,1,0,2,0,0,0,2,1,wakingup,swcnye,swcney,scweny,swcney
M,2,電資,3,1,1,2,1,0,0,1,2,commuting,cwseny,cwesny,csweny,cwesny
F,4,應用統計,2,1,1,0,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,2,?,?,?,?,?,?,1,2,wakingup,scnwey,scnwey,scnewy,csnwey
M,2,人社學士班,3,2,1,1,0,0,0,1,2,resting,scenwy,scenwy,scenwy,csenwy
F,2,統計系,3,2,0,2,0,0,0,1,2,resting,cnywse,cnwyes,cnyesw,cnwyes
M,4,食品研究所,4,2,2,2,0,0,0,1,2,wakingup,nycswe,nycsew,ncyesw,nycsew
F,2,物理系,4,1,1,3,0,0,0,1,2,commuting,cwseny,cwesny,csweny,cwesny
F,2,資訊工程系,3,2,2,4,1,0,0,1,3,working,ncwsey,ncswey,ncwesy,cnswey
M,2,資工,3,1,1,3,0,0,0,1,2,working,ncsewy,nceswy,ncsewy,cneswy
M,1,生科系,2,4,3,0,1,2,3,1,2,wakingup,scnwye,scnwey,scnewy,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
M,3,工管系,2,2,0,2,0,0,0,1,2,wakingup,csenwy,csenwy,cesnwy,csenwy
F,4,護理科,2,1,2,0,0,0,0,1,2,working,cswney,csnwey,csweny,csnwey
M,4,材料,3,0,1,1,1,0,0,1,2,working,cwnyse,cwnyes,cnwesy,cwnyes
M,2,人社,3,1,2,0,1,0,0,1,3,wakingup,ncswye,ncswey,ncsewy,cnswey
F,2,歷史系,4,3,1,3,1,0,0,1,2,resting,nesywc,nesycw,nescwy,ensycw
F,2,教科系,3,1,0,3,0,0,0,1,2,commuting,csnwye,csnwey,cnsewy,csnwey
F,2,財金,1,0,1,0,1,0,0,3,2,commuting,wcsnye,wcnsey,wcseny,cwnsey
M,3,清大工工,4,3,2,3,1,1,1,1,2,commuting,scewny,scewny,scenwy,csewny
F,2,機械系,4,2,2,4,1,0,0,1,2,wakingup,nscwye,nscwey,ncsewy,nscwey
F,2,商學院,4,2,2,4,0,0,1,1,2,wakingup,cnswey,cnswey,cnsewy,cnswey
M,2,資工,4,1,1,3,1,0,1,1,2,resting,ecsnwy,ecnswy,ecsnwy,censwy
F,4,食品營養科,1,1,1,1,0,0,0,1,2,commuting,ncyswe,ncsyew,ncyesw,cnsyew
M,4,地球科學,4,1,1,1,1,0,0,2,1,commuting,ncwsey,ncswey,ncwesy,cnswey
F,4,金融所,3,2,2,0,0,0,0,1,2,working,ncswey,ncswey,ncsewy,cnswey
F,2,工科,4,2,1,4,0,0,0,1,2,resting,ncswye,ncswey,ncsewy,cnswey
F,3,傳播所,3,2,2,0,0,0,0,1,2,resting,censwy,censwy,censwy,censwy
M,1,經濟系,3,2,1,1,0,0,0,3,2,working,eyswnc,eyswcn,esycnw,eyswcn
M,2,工學院學士班,2,2,1,0,0,0,0,1,2,working,cnswye,cnswey,cnsewy,cnswey
F,2,統計系,3,2,0,2,0,0,0,1,2,wakingup,ncswye,ncswey,ncsewy,cnswey
M,2,資工系,4,?,?,?,?,?,?,3,2,working,ynwesc,ynewcs,ynwces,nyewcs
F,2,英教系,4,4,4,4,0,0,0,1,2,resting,cseynw,cseynw,cesnwy,cseynw
M,4,事業經營管理研究所,2,1,2,0,1,0,0,1,2,commuting,cnswye,cnswey,cnsewy,cnswey
F,2,衛教系,4,1,2,3,0,0,0,1,2,wakingup,nceswy,nceswy,nceswy,cneswy
F,4,金融所,3,2,2,0,0,0,0,1,2,resting,necswy,necswy,nceswy,encswy
F,2,醫環系,3,2,1,2,0,0,0,1,2,commuting,nwscey,nwcsey,nswcey,nwcsey
F,2,文資系,2,1,0,2,0,0,0,1,2,working,ncwsey,ncswey,ncwesy,cnswey
M,1,物理系,3,1,2,2,0,0,0,1,2,commuting,nyeswc,nyescw,neycsw,nyescw
F,4,資工,4,2,3,3,0,0,0,1,2,commuting,csnewy,csenwy,cnsewy,csenwy
F,2,經濟系,2,1,1,1,0,0,0,1,2,wakingup,wncsey,wncsey,wcnesy,nwcsey
M,2,資工11,3,2,1,1,1,0,1,1,2,wakingup,ncswey,ncswey,ncsewy,cnswey
F,2,外語,4,4,2,1,0,0,0,1,2,wakingup,nwcsey,nwcsey,ncwesy,nwcsey
M,2,資工系,4,4,1,1,0,0,0,1,2,commuting,scewny,scewny,scenwy,csewny
M,3,資工,4,4,4,0,0,0,0,1,2,working,scnewy,scenwy,scnewy,csenwy
F,2,經濟,3,2,0,4,0,0,0,2,3,resting,csewny,csewny,cesnwy,csewny
M,2,不分系,2,1,2,1,1,0,1,2,1,wakingup,esycwn,escynw,esycnw,escynw
M,2,資工系,4,1,1,4,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
F,2,特教24,4,4,3,1,0,2,0,1,2,wakingup,scwney,scnwey,scweny,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,commuting,ncswey,ncswey,ncsewy,cnswey
M,2,資工系,2,1,1,1,0,0,0,1,2,wakingup,nwycse,nwcyes,nwyces,nwcyes
M,2,資工系,4,?,?,?,?,?,?,3,2,wakingup,ynwesc,ynewcs,ynwces,nyewcs
F,2,教科系,3,2,0,0,0,0,1,2,1,commuting,cnwsye,cnswey,cnwesy,cnswey
M,2,資訊工程系,2,2,1,1,0,0,0,1,2,working,csweyn,csewny,csweny,csewny
