gender,age,department,total_usetime,social_usetime,communication_usetime,entertainment_usetime,news_usetime,system_usetime,notification_usetime,view_order_top,view_order_middle,view_order_bottom,scenario,tol_111111,tol_1122,tol_123,tol_222
F,2,資工,3,2,2,1,0,0,0,1,2,3,resting,cseywn,cseynw,cesnwy,cseynw
M,4,事業經營管理研究所,2,1,2,0,1,0,0,1,2,3,commuting,cnswye,cnswey,cnsewy,cnswey
F,4,工管,2,0,0,0,0,0,0,1,2,3,wakingup,cwenys,cwensy,cewnsy,cwensy
F,2,應用化學系,4,3,3,2,0,0,0,1,2,3,commuting,wcnsey,wcnsey,wcnesy,cwnsey
F,2,資工,3,1,0,3,0,0,0,1,2,3,working,csywen,cswyen,csyenw,cswyen
F,2,資工系,4,2,1,3,0,0,0,1,2,3,resting,csewyn,csewny,cesnwy,csewny
F,4,中文系,2,0,2,0,0,0,0,1,2,3,wakingup,ncwsye,ncswey,ncwesy,cnswey
F,2,資工系,3,2,1,2,0,0,0,1,2,3,wakingup,cwsnye,cwnsey,csweny,cwnsey
M,2,資工系,4,3,3,3,1,1,1,2,1,3,commuting,scenyw,scenwy,scenwy,csenwy
F,2,資工系,3,1,1,2,0,0,0,1,2,3,wakingup,cnwsey,cnswey,cnwesy,cnswey
M,2,數據所,4,2,2,0,0,0,0,1,2,3,resting,scenyw,scenwy,scenwy,csenwy
M,2,材料,3,1,1,2,0,0,0,1,2,3,resting,csnwey,csnwey,cnsewy,csnwey
F,4,電子資料處理,4,4,4,4,0,0,0,1,2,3,resting,cnsewy,cneswy,cnsewy,cneswy
F,2,資訊工程系,3,2,2,1,0,0,0,1,2,3,commuting,csewny,csewny,cesnwy,csewny
F,2,電機系,3,1,3,0,0,0,0,1,2,3,working,cswnye,csnwey,csweny,csnwey
F,2,文資系,2,1,0,2,0,0,0,1,2,3,resting,ecswny,ecswny,ecsnwy,ceswny
M,2,電機系,4,3,1,2,1,0,0,2,1,3,working,cnswey,cnswey,cnsewy,cnswey
F,2,資工系,3,?,?,?,?,?,?,1,2,3,working,ncsywe,ncsyew,ncsewy,cnsyew
M,2,數學系,4,?,?,?,?,?,?,1,2,3,resting,scnewy,scenwy,scnewy,csenwy
M,2,材料系 ,2,0,1,1,0,0,0,1,2,3,wakingup,ncwsey,ncswey,ncwesy,cnswey
